name,country,howstatid,iccid,role,rank,icc_role,rating,format
Scott Boland,AUS,4511,1475,bowler,-1,-1,-1
Alex Carey,AUS,4726,3882,batsman,-1,-1,-1
Pat Cummins,AUS,3909,488,bowler,-1,-1,-1
Cameron Green,AUS,4330,4093,allrounder,-1,-1,-1
Peter Handscomb,AUS,4558,,batsman,-1,-1,-1
Josh Hazlewood,AUS,3799,857,bowler,-1,-1,-1
Travis Head,AUS,4386,1020,allrounder,-1,-1,-1
Usman Khawaja,AUS,3842,-1,batsman,-1,-1,-1
Matthew Kuhnemann,AUS,6656,4023,bowler,-1,-1,-1
Marnus Labuschagne,AUS,4816,4029,batsman,-1,-1,-1
Nathan Lyon,AUS,3885,797,bowler,-1,-1,-1
Mitchell Marsh,AUS,3912,,allrounder,-1,-1,-1
Todd Murphy,AUS,7126,-1,bowler,-1,-1,-1
Michael Neser,AUS,4201,909,allrounder,-1,-1,-1
Matt Renshaw,AUS,4607,-1,batsman,-1,-1,-1
Steven Smith,AUS,1642,271,batsman,-1,-1,-1
Mitchell Starc,AUS,3830,,allrounder,-1,-1,-1
David Warner,AUS,1463,170,bowler,-1,-1,-1
Sean Abbott,AUS,4331,942,bowler,-1,-1,-1
,AUS,5332,4524,batsman,-1,-1,-1
Nathan Ellis,AUS,6082,,bowler,-1,-1,-1
Aaron Hardie,AUS,7448,,allrounder,-1,-1,-1
Josh Inglis,AUS,6471,4088,batsman,-1,-1,-1
Spencer Johnson,AUS,7449,,bowler,-1,-1,-1
Glenn Maxwell,AUS,3969,282,allrounder,-1,-1,-1
Tanveer Sangha,AUS,7450,-1,bowler,-1,-1,-1
Matthew Short,AUS,4729,-1,batsman,-1,-1,-1
Marcus Stoinis,AUS,4389,964,allrounder,-1,-1,-1
Adam Zampa,AUS,4527,958,bowler,-1,-1,-1
Jason Behrendorff,AUS,4705,,bowler,-1,-1,-1
Ashton Turner,AUS,4648,,allrounder,-1,-1,-1
Ebadot Hossain,BAN,4925,3711,bowler,-1,-1,-1
Khaled Ahmed,BAN,4833,5281,bowler,-1,-1,-1
Litton Das,BAN,4430,1596,batsman,-1,-1,-1
Mahmudul Hasan Joy,BAN,3623,492,batsman,-1,-1,-1
Mehidy Hasan Miraz,BAN,4598,-1,allrounder,-1,-1,-1
Mominul Haque,BAN,3980,-1,bowler,-1,-1,-1
Mushfiqur Rahim,BAN,3279,-1,batsman,-1,-1,-1
Najmul Hossain Shanto,BAN,4633,-1,batsman,-1,-1,-1
Nurul Hasan,BAN,4514,-1,batsman,-1,-1,-1
Shakib Al Hasan,BAN,3426,201,allrounder,-1,-1,-1
