name,country,howstatid,iccid,role
Mrittunjoy Chowdhury,BAN,7273,-1,bowler
Mustafizur Rahman,BAN,4414,1594,bowler
Nasum Ahmed,BAN,5957,-1,bowler
Rony Talukdar,BAN,4448,-1,batsman
Shamim Hossain,BAN,6048,-1,allrounder
Soumya Sarkar,BAN,4362,-1,batsman
Tanzid Hasan,BAN,7451,-1,batsman
Tanzim Hasan Sakib,BAN,7454,-1,bowler
Towhid Hridoy,BAN,7162,-1,batsman
Hasan Murad,BAN,7562,-1,bowler
Jaker Ali,BAN,7544,-1,batsman
Ripon Mondol,BAN,7545,,bowler
Mosaddek Hossain,BAN,4516,-1,bowler
Parvez Hossain Emon,BAN,6840,-1,batsman
Rakibul Hasan,BAN,7546,201,bowler
Rishad Hossain,BAN,7198,-1,bowler
Saif Hassan,BAN,5773,-1,batsman
Shahadat Hossain,BAN,7547,-1,bowler
Sumon Khan,BAN,7548,-1,bowler
Tanvir Islam,BAN,7182,-1,bowler
Moeen Ali,ENG,4271,1735,allrounder
James Anderson,ENG,3065,,bowler
Jonny Bairstow,ENG,3900,506,batsman
Stuart Broad,ENG,3434,192,bowler
Harry Brook,ENG,6470,,batsman
Zak Crawley,ENG,5736,-1,batsman
Ben Duckett,ENG,4596,1542,batsman
Ben Foakes,ENG,4832,,batsman
Will Jacks,ENG,6922,-1,allrounder
Jack Leach,ENG,4744,3363,bowler
Liam Livingstone,ENG,4692,3644,bowler
Ollie Pope,ENG,4814,,batsman
Matthew Potts,ENG,6622,-1,bowler
Rehan Ahmed,ENG,7109,-1,allrounder
Ollie Robinson,ENG,6010,4434,bowler
Joe Root,ENG,3981,887,allrounder
Ben Stokes,ENG,3883,1154,allrounder
Josh Tongue,ENG,7298,-1,bowler
Chris Woakes,ENG,3846,967,bowler
Mark Wood,ENG,4421,2749,bowler
Jofra Archer,ENG,4777,3502,bowler
Gus Atkinson,ENG,7452,,bowler
Sam Billings,ENG,4428,-1,batsman
Jos Buttler,ENG,3888,509,batsman
Brydon Carse,ENG,6036,,allrounder
Sam Curran,ENG,4787,2939,bowler
Liam Dawson,ENG,4566,-1,allrounder
Sam Hain,ENG,7484,,batsman
Tom Hartley,ENG,7485,-1,bowler
Chris Jordan,ENG,4238,,bowler
Saqib Mahmood,ENG,5658,-1,bowler
Dawid Malan,ENG,4694,3318,batsman
Adil Rashid,ENG,3696,796,bowler
Jason Roy,ENG,4325,1906,batsman
Phil Salt,ENG,6038,,batsman
George Scrimshaw,ENG,7482,,bowler
Jamie Smith,ENG,7483,,batsman
Olly Stone,ENG,4819,,Bowler
Reece Topley,ENG,4479,2839,bowler
James Vince,ENG,4419,-1,batsman
David Willey,ENG,4420,2758,allrounder
Luke Wood,ENG,6921,-1,bowler
Alex Hales,ENG,3887,511,batsman
Mark Adair,IRE,5089,,allrounder
Andy Balbirnie,IRE,3809,,batsman
Curtis Campher,IRE,5844,,allrounder
