name,country,howstatid,iccid,role
David Willey,ENG,,,
Luke Wood,ENG,,,
Alex Hales,ENG,,,
Mark Adair,IRE,,,
Andy Balbirnie,IRE,,,
Curtis Campher,IRE,,,
Murray Commins,IRE,,,
George Dockrell,IRE,,,
Fionn Hand,IRE,,,
Graham Hume,IRE,,,
Matthew Humphreys,IRE,,,
Andy McBrine,IRE,,,
James McCollum,IRE,,,
Peter Moor,IRE,,,
Paul Stirling,IRE,,,
Harry Tector,IRE,,,
Lorcan Tucker,IRE,,,
Ben White,IRE,,,
Gareth Delany,IRE,,,
Stephen Doheny,IRE,,,
Josh Little,IRE,,,
Barry McCarthy,IRE,,,
Theo van Woerkom,IRE,,,
Craig Young,IRE,,,
Ross Adair,IRE,,,
Tyrone Kane,IRE,,,
Neil Rock,IRE,,,
Finn Allen,NZ,,,
Tom Blundell,NZ,,,
Trent Boult,NZ,,,
Chad Bowes,NZ,,,
Michael Bracewell,NZ,,,
Mark Chapman,NZ,,,
Devon Conway,NZ,,,
Jacob Duffy,NZ,,,
Lockie Ferguson,NZ,,,
Dean Foxcroft,NZ,,,
Matt Henry,NZ,,,
Kyle Jamieson,NZ,,,
Tom Latham,NZ,,,
Ben Lister,NZ,,,
Cole McConchie,NZ,,,
Adam Milne,NZ,,,
Daryl Mitchell,NZ,,,
James Neesham,NZ,,,
Henry Nicholls,NZ,,,
Glenn Phillips,NZ,,,
Rachin Ravindra,NZ,,,
Mitchell Santner,NZ,,,
Henry Shipley,NZ,,,
Ish Sodhi,NZ,,,
Tim Southee,NZ,,,
Blair Tickner,NZ,,,
Kane Williamson,NZ,,,
Will Young,NZ,,,
Adithya Ashok,NZ,,,
Dane Cleaver,NZ,,,
Tim Seifert,NZ,,,
Abdullah Shafique,PAK,,,
Abrar Ahmed,PAK,,,
Agha Salman,PAK,,,
Azhar Ali (Lahore),PAK,,,
Babar Azam,PAK,,,
Faheem Ashraf,PAK,,,
Haris Rauf,PAK,,,
Hasan Ali,PAK,,,
Imam-ul-Haq,PAK,,,
Mir Hamza,PAK,,,
Mohammad Ali,PAK,,,
Mohammad Nawaz,PAK,,,
Mohammad Rizwan,PAK,,,
Mohammad Wasim,PAK,,,
Naseem Shah,PAK,,,
Noman Ali,PAK,,,
Sarfaraz Ahmed,PAK,,,
Saud Shakeel,PAK,,,
Shaheen Shah Afridi,PAK,,,
Shan Masood,PAK,,,
Zahid Mahmood,PAK,,,
Fakhar Zaman,PAK,,,
Haris Sohail,PAK,,,
Iftikhar Ahmed,PAK,,,
Ihsanullah,PAK,,,
Kamran Ghulam,PAK,,,
Mohammad Haris,PAK,,,
Mohammad Hasnain,PAK,,,
Shadab Khan,PAK,,,
Usama Mir,PAK,,,
Zaman Khan,PAK,,,
Aamer Jamal,PAK,,,
Arafat Minhas,PAK,,,
Arshad Iqbal,PAK,,,
Asif Ali,PAK,,,
Azam Khan,PAK,,,
Haider Ali,PAK,,,
Imad Wasim,PAK,,,
Khushdil Shah,PAK,,,
Mirza Baig,PAK,,,
Mubasir Khan,PAK,,,
Omair Yousuf,PAK,,,
Qasim Akram,PAK,,,
Rohail Nazir,PAK,,,
Saim Ayub,PAK,,,
Sufiyan Muqeem,PAK,,,
Tayyab Tahir,PAK,,,
Usman Qadir,PAK,,,
Temba Bavuma,SA,,,
Gerald Coetzee,SA,,,
Theunis de Bruyn,SA,,,
Tony de Zorzi,SA,,,
Dean Elgar,SA,,,
Sarel Erwee,SA,,,
Simon Harmer,SA,,,
Marco Jansen,SA,,,
Heinrich Klaasen,SA,,,
Keshav Maharaj,SA,,,
