,Player Name,ClientPlayerID
114,Umesh Yadav,59
115,Amit Mishra,30
116,Arshad Khan,20599
117,Akash Deep,14800
118,Akeal Hosein,5608
119,Trent Boult,969
120,Praveen Dubey,3188
121,Naveen-Ul-Haq,5681
122,Yash Dhull,20623
123,Ben Stokes,1154
124,Mandeep Singh,72
125,Arjun Tendulkar,10244
126,Vyshak Vijaykumar,1097
127,Kedar Jadhav,297
128,Jason Holder,1075
129,Karan Sharma,20588
130,Mark Wood,2749
131,Sanvir Singh,5616
132,Manan Vohra,1085
133,Joe Root,5601
134,Adam Zampa,958
135,Jaydev Unadkat,86
136,Noor Ahmad,20590
137,Mukesh Kumar,5622
138,Rovman Powell,3333
139,Alzarri Joseph,3098
140,Harshal Patel,157
141,Kumar Kartikeya Singh,20629
142,Jason Behrendorff,937
143,Chris Jordan,1299
144,Mohammad Shami,94
146,Jofra Archer,3502
147,Chetan Sakariya,11062
148,Vaibhav Arora,14859
149,Karn Sharma,1118
150,Arshdeep Singh,4698
151,Mitchell Santner,1903
152,Swapnil Singh,3180
153,Wayne Parnell,223
154,Sandeep Sharma,1112
155,Mustafizur Rahman,1594
156,Ishant Sharma,38
157,Abdul Basith,5812
158,Deepak Chahar,140
159,Mohit Rathee,5856
160,Josh Hazlewood,857
161,Mohammed Siraj,3840
162,Yudhvir Singh,10842
163,Fazalhaq Farooqi,20610
164,Nathan Ellis,17118
165,Varun Chakaravarthy,5432
